,YEAR,PLAYER,POS,BODY_FAT_%,HAND_LENGTH_(INCHES),HAND_WIDTH_(INCHES),HEIGHT_W/O_SHOES,HEIGHT_W/_SHOES,STANDING_REACH,WEIGHT_(LBS),WINGSPAN,LANE_AGILITY_TIME_(SECONDS),SHUTTLE_RUN_(SECONDS),THREE_QUARTER_SPRINT_(SECONDS),STANDING_VERTICAL_LEAP_(INCHES),MAX_VERTICAL_LEAP_(INCHES),MAX_BENCH_PRESS_(REPETITIONS),player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
20,2021,David Johnson,SG,7.5,8.25,8.5,75.25,76.75,104.0,202.8,82.5,12.02,3.2,3.03,33.0,39.0,,David Johnson,Louisville,ACC,19,82.9,93.7,23.3,48.4,50.42,2.9,15.4,19.1,23.9,28,40,0.7,58,136,0.426,32,83,0.386,0.9,1.8,18.3,So,5-Jun,13,2.06049,102.282,3.1,2021,70419,all,83.6,1.0,31.0,52.0,27.0,84.0,0.5962,0.3214,4.0,4.0,1.0,47.0,98.9911,93.0915,4.13453,125.881,2.97226,0.231053,2.74121,2.14969,35.1053,0.52188,1.62781,0.8947,4.8947,5.7895,3.2105,1.0526,0.2632,12.6316,Wing G,7.54764
21,2021,Jalen Johnson,PF,4.5,9.75,10.5,79.75,81.25,106.0,209.6,84.25,,,,,,,Jalen Johnson,Duke,ACC,13,28.7,102.6,28.8,56.5,57.91,7.9,25.3,20.5,23.8,24,38,0.632,49,90,0.544,8,18,0.444,6.0,3.1,35.2,Fr,9-Jun,1,2.53346,119.397,4.2,2021,73238,all,97.8,0.87878663,41.0,64.0,8.0,27.0,0.6406,0.2963,8.0,8.0,1.0,20.0,94.6895,89.6793,2.78835,67.525,7.16034,2.03185,5.1285,7.71891,21.3846,4.06821,3.6507,1.4615,4.5385,6.0,2.2308,1.1538,1.2308,11.2308,PF/C,3.73328
22,2021,Keon Johnson,SG,4.4,8.5,9.0,75.5,76.75,97.0,184.8,79.25,11.45,3.2,3.0,41.5,48.0,,Keon Johnson,Tennessee,SEC,27,62.5,95.2,27.3,47.4,51.71,4.8,11.2,21.2,22.5,71,101,0.703,97,198,0.49,13,48,0.271,1.9,2.6,41.1,Fr,5-Jun,45,2.04202,108.795,3.8,2021,73686,all,96.6,0.9436796,54.0,93.0,44.0,106.0,0.5806,0.4151,15.0,20.0,0.75,21.0,93.27,88.5922,3.35407,131.244,1.94442,-0.372935,2.31736,2.8345,25.0,0.439697,2.3948,1.037,2.4444,3.4815,2.4815,1.1111,0.4074,11.2593,Wing G,4.14465
23,2021,Carlik Jones,PG,4.5,8.25,9.0,72.0,73.0,97.5,173.6,77.0,10.96,3.23,3.16,31.5,36.0,,Carlik Jones,Louisville,ACC,19,88.6,105.7,26.2,43.4,49.12,2.2,12.4,26.2,12.7,75,92,0.815,95,225,0.422,18,56,0.321,0.3,2.2,32.7,Sr,1-Jun,1.0,4.32674,118.702,1.9,2021,47580,all,,2.17952852,52.0,89.0,43.0,136.0,0.5843,0.3162,1.0,1.0,1.0,,99.8037,93.8201,4.32541,130.231,5.13143,3.18247,1.94897,5.15167,37.5263,2.89674,2.25492,0.7368,4.2105,4.9474,4.4737,1.3684,0.1053,16.7895,Combo G,4.76477
24,2021,Kai Jones,PF,4.7,9.0,9.5,82.0,83.5,110.5,221.4,85.75,,,,,,,Kai Jones,Texas,B12,26,54.2,116.6,18.2,62.6,64.55,10.0,13.4,5.4,19.1,51,74,0.689,70,109,0.642,13,34,0.382,4.2,2.1,51.7,So,11-Jun,22,2.77885,120.814,4.6,2021,71905,all,89.8,0.44446049,61.0,82.0,9.0,27.0,0.7439,0.3333,46.0,50.0,0.92,19.0,95.5083,90.3704,2.88256,120.864,7.84197,4.01797,3.82399,6.66978,22.8462,3.67664,2.99314,1.9615,2.8846,4.8462,0.6154,0.8462,0.9231,8.8462,PF/C,3.28811
25,2021,Herbert Jones,SF,5.8,8.5,9.0,78.0,79.25,106.0,206.4,84.25,11.02,3.17,3.25,28.5,36.5,,Herbert Jones,Alabama,SEC,33,67.9,103.3,24.3,48.1,52.89,9.4,15.2,21.7,22.9,93,130,0.715,109,232,0.47,20,57,0.351,4.0,3.4,45.0,Sr,8-Jun,1.0,2.81162,115.078,4.2,2021,51990,all,70.6,1.16127313,99.0,186.0,10.0,47.0,0.5323,0.2128,22.0,25.0,0.88,35.0,89.826,84.3453,4.04557,220.768,8.9201,2.63997,6.28013,7.70857,27.2727,3.08215,4.62643,2.4848,4.0909,6.5758,3.2727,1.7273,1.1212,11.2424,Wing F,3.41342
26,2021,Johnny Juzang,SG,8.0,8.5,9.5,77.5,79.0,100.5,209.0,82.5,11.13,3.08,3.13,31.0,36.5,,Johnny Juzang,UCLA,P12,27,65.8,109.3,24.8,51.7,54.84,3.3,12.5,10.7,12.3,57,65,0.877,105,207,0.507,55,156,0.353,1.2,1.5,17.9,So,6-Jun,3,4.22667,124.019,2.3,2021,71901,all,93.6,1.0,26.0,47.0,79.0,160.0,0.5532,0.4938,0.0,0.0,,,103.07,95.587,3.45314,144.772,5.2505,4.57353,0.676974,6.41193,32.2963,5.53729,0.874637,0.8519,3.2593,4.1111,1.5926,0.7778,0.3333,16.0,Wing G,11.0484
27,2021,Corey Kispert,SF,6.8,8.75,10.0,78.0,79.25,102.0,223.8,79.0,10.91,2.99,3.12,30.0,37.5,,Corey Kispert,Gonzaga,WCC,32,79.2,131.2,20.7,64.4,67.38,3.8,13.9,9.0,10.7,86,98,0.878,118,188,0.628,91,207,0.44,1.4,1.5,24.8,Sr,7-Jun,24.0,5.75645,137.606,2.1,2021,51050,all,79.0,1.38095238,98.0,130.0,20.0,58.0,0.7538,0.3448,9.0,9.0,1.0,15.0,95.9101,91.98,3.87892,196.228,9.90794,8.1101,1.79784,10.4287,31.8125,8.80165,1.62708,0.9375,4.0312,4.9688,1.8125,0.9062,0.4375,18.5938,Wing G,10.8954
28,2021,AJ Lawson,SG-SF,4.4,8.5,9.25,77.5,78.75,99.5,179.2,78.75,11.0,3.01,2.98,33.0,41.0,,AJ Lawson,South Carolina,SEC,21,78.3,106.1,23.2,49.3,52.09,3.0,12.0,8.0,11.1,56,80,0.7,58,129,0.45,59,168,0.351,0.5,2.6,26.9,Jr,6-Jun,0,3.49496,117.4,2.2,2021,66063,all,70.8,0.81250823,44.0,78.0,14.0,51.0,0.5641,0.2745,8.0,8.0,1.0,,106.441,100.513,2.90762,123.556,3.0407,3.8701,-0.829406,4.72671,31.3333,4.45492,0.271792,0.9524,3.1429,4.0952,1.2381,1.5238,0.1429,16.619,Wing G,13.5535
29,2021,Scottie Lewis,SF,4.7,8.75,9.75,76.0,77.25,101.5,187.6,84.0,10.45,3.03,2.98,34.0,42.0,,Scottie Lewis,Florida,SEC,21,53.5,97.9,18.0,50.0,53.53,4.0,9.8,10.4,23.0,37,55,0.673,43,84,0.512,14,44,0.318,4.4,3.5,43.0,So,5-Jun,23,1.27804,99.7179,3.9,2021,70994,all,98.8,0.79489525,29.0,41.0,14.0,43.0,0.7073,0.3256,6.0,6.0,1.0,56.0,97.0411,91.2276,3.18389,113.201,5.5542,1.18321,4.37099,4.52354,25.619,0.809042,3.7145,0.8095,2.2857,3.0952,1.4762,1.5714,1.0476,7.8571,Wing G,4.66897
30,2021,Isaiah Livers,SF,9.4,9.0,9.5,77.75,79.25,104.5,231.8,81.25,,,,,,,Isaiah Livers,Michigan,B10,23,64.6,121.9,18.9,57.0,60.53,4.5,16.6,11.6,11.3,47,54,0.87,52,107,0.486,50,116,0.431,2.3,1.1,24.2,Sr,7-Jun,2.0,4.58919,127.324,2.0,2021,50343,all,73.6,1.7692853,28.0,49.0,24.0,58.0,0.5714,0.4138,10.0,10.0,1.0,42.0,95.9651,89.4259,4.12684,138.652,9.32754,5.8013,3.52624,9.13911,31.6087,6.18608,2.95303,1.087,4.913,6.0,2.0,0.5652,0.7391,13.087,Wing F,9.54539
31,2021,Makur Maker,C,14.5,8.75,9.5,82.25,83.25,112.0,232.2,85.75,11.87,3.28,3.34,25.5,31.0,,Makur Maker,Howard,MEAC,1,18.1,71.8,26.9,50.0,50.23,3.8,24.6,15.5,34.7,1,2,0.5,5,8,0.625,0,2,0.0,3.8,0.0,20.0,Fr,11-Jun,4,-0.789467,77.4105,4.1,2021,72262,all,96.8,0.44444444,3.0,3.0,2.0,5.0,1.0,0.4,0.0,0.0,,,114.426,108.18,1.91964,5.52477,-11.9733,-9.5847,-2.38862,-11.8989,24.0,-8.92432,-2.97455,1.0,5.0,6.0,2.0,0.0,1.0,11.5,PF/C,3.74583
